Qnum;Question;Gap1;Indikator1;Gap2;Indikator2
1.1;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für die Erwerbsarbeit (incl. Pendeln, Übernachtungen, Pausen und Mittagszeiten etc.) zuständig sind?;Differenz im Zeithandeln Erwerbsarbeit;Nein, ich bin zu viel Zeit dafür zuständig, Nein, ich wäre gerne mehr Zeit dafür zuständig;;
1.2;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für Hausarbeiten (Putzen, Kochen, Instandhalten, Reparieren, Gartenarbeit, Zahlungen, Einkaufen, Waschen etc.) zuständig sind?;Differenz im Zeithandeln Hausarbeit;Nein, ich bin zu viel Zeit dafür zuständig,Nein, ich wäre gerne mehr Zeit dafür zuständig;;
1.3;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für die Kinderbetreuung zuständig sind?;Differenz im Zeithandeln Kinderbetreuung;Nein, ich bin zu viel Zeit dafür zuständig,Nein, ich wäre gerne mehr Zeit dafür zuständig;;
2.1;Wie häufig erledigen Sie während Ihrer Arbeitszeit zwischendurch oder zu Randzeiten private Angelegenheiten (z.B. familiäre Verpflichtungen)?;Vereinbarkeitstätigkeit Switchen wird angewandt;Oft,Ab und zu;;
2.2;Wie häufig erledigen Sie Ihre Arbeit von zu Hause aus?;Vereinbarkeitstätigkeit Home Office wird angewandt;Oft,Ab und zu;;
2.3;Wie häufig führen private Verpflichtungen (z.B. wenn Sie vor Ladenschluss Einkäufe erledigen müssen, wenn Sie das Mittagessen zubereiten müssen, wenn Sie Ihr krankes Kind versorgen müssen) dazu, dass Sie Ihren Arbeitsplatz früher verlassen bzw. später eintreffen?;Vereinbarkeitstätigkeit Flexible Arbeitszeiten wird angewandt;Oft,Ab und zu;;
3.1;Ich verbringe genügend Zeit mit meinem/meinen Kind(ern) um Tätigkeiten wie spielen, basteln, lesen oder ähnliches durchführen.;Unzufriedenheit mit sozialen Beziehungen;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
3.2;Ich bin zufrieden mit der Zeit, welche ich mit meinen Kindern verbringen und Tätigkeiten wie spielen, basteln, Sport treiben, lesen oder ähnliche Aktivitäten durchführe.;Unzufriedenheit mit sozialen Beziehungen;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
3.3;Ich verbringe genügend Zeit zu zweit mit meiner Partnerin/meinem Partner.;Unzufriedenheit mit sozialen Beziehungen;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
3.4;Ich bin zufrieden mit der Zeit, welche ich mit meiner Partnerin/meinem Partner zu zweit verbringe. ;Unzufriedenheit mit sozialen Beziehungen;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
